linea;id_linea;euro_3_perc;euro_5_perc;fleet_mean_age
1;83;0,861111111;0,138888889;2014
2;141;0,563636364;0,436363636;2016
4;129;1;0;2013
5;36;0;1;2018
6;39;0,840909091;0,159090909;2015
7;56;0,5;0,5;2018
8;37;0,149253731;0,850746269;2019
9;62;0,569230769;0,430769231;2016
10;60;0,815384615;0,184615385;2014
12;41;0,202531646;0,797468354;2018
15;142;0,840336134;0,159663866;2014
17;61;0,246575342;0,753424658;2018
19;100;0,916666667;0,083333333;2014
20;73;0;1;2020
21;84;0,63372093;0,36627907;2016
22;63;1;0;2010
23;40;0;1;2019
24;85;0,41025641;0,58974359;2017
25;48;0,9;0,1;2014
26;54;0,616666667;0,383333333;2015
28;50;0,572222222;0,427777778;2015
29;143;0,506849315;0,493150685;2016
31;489;0,217948718;0,782051282;2016
32;86;0,695652174;0,304347826;2015
33;130;0,953488372;0,046511628;2014
34;87;0,264705882;0,735294118;2018
37;145;0,65;0,35;2015
39;146;0,369565217;0,630434783;2017
41;147;1;0;2015
42;57;0,4;0,6;2018
44;42;0,490909091;0,509090909;2018
45;101;0,5;0,5;2017
46;102;0,733333333;0,266666667;2015
47;148;0,8;0,2;2013
49;104;1;0;2012
50;35;0,964285714;0,035714286;2013
51;149;0,573529412;0,426470588;2016
53;105;0,583333333;0,416666667;2017
55;106;0,873417722;0,126582278;2013
56;88;0,925925926;0,074074074;2014
57;103;0,263803681;0,736196319;2018
59;107;0,035714286;0,964285714;2019
60;150;0,58974359;0,41025641;2015
61;1150;0,869565217;0,130434783;2014
62;1151;0,826086957;0,173913043;2014
63;74;0,648148148;0,351851852;2016
64;151;0,603448276;0,396551724;2017
65;51;0,981132075;0,018867925;2014
67;108;0,95;0,05;2013
68;99;0,109756098;0,890243902;2019
70;109;0,926829268;0,073170732;2014
71;65;0,74;0,26;2015
74;152;0,909090909;0,090909091;2013
75;89;0,78125;0,21875;2014
76;43;0,595744681;0,404255319;2017
78;90;0,230769231;0,769230769;2017
79;153;0,858974359;0,141025641;2014
80;154;0,410958904;0,589041096;2016
84;49;0,857142857;0,142857143;2015
85;110;0,581818182;0,418181818;2016
86;111;1;0;2011
87;91;1;0;2013
88;114;1;0;2012
90;622;0,829268293;0,170731707;2014
91;92;0,2;0,8;2018
92;131;0,573033708;0,426966292;2015
93;116;1;0;2011
95;155;0,981132075;0,018867925;2012
96;117;0,975609756;0,024390244;2012
97;118;1;0;2012
98;119;0,852941176;0,147058824;2014
99;1149;0,780487805;0,219512195;2014
100;75;0,421686747;0,578313253;2017
101;34;0;1;2019
102;156;0,68;0,32;2015
103;120;0,706896552;0,293103448;2015
105;121;0,377358491;0,622641509;2017
106;66;0,671428571;0,328571429;2015
107;58;0,97826087;0,02173913;2014
108;59;0,085106383;0,914893617;2017
109;67;0,95;0,05;2013
110;68;0,382352941;0,617647059;2017
111;93;1;0;2015
113;76;0,3125;0,6875;2017
114;1152;0,8;0,2;2013
115;46;0,034482759;0,965517241;2019
117;94;0;1;2019
118;159;0,796610169;0,203389831;2014
119;1262;0,172413793;0,827586207;2018
123;123;1;0;2013
124;621;0,366666667;0,633333333;2017
126;161;0,417721519;0,582278481;2017
127;95;1;0;2014
128;77;0,604651163;0,395348837;2015
129;1153;0,625698324;0,374301676;2014
130;78;0,011764706;0,988235294;2019
132;53;0,525252525;0,474747475;2016
133;1252;0;1;2017
134;79;1;0;2014
135;44;0,285714286;0,714285714;2017
136;919;0,896551724;0,103448276;2016
140;1253;0;1;2017
143;1156;0,85106383;0,14893617;2012
145;1265;0;1;2020
146;69;0,534482759;0,465517241;2017
148;124;0,870967742;0,129032258;2013
150;45;0,508474576;0,491525424;2015
151;47;0,924528302;0,075471698;2016
152;70;0,090909091;0,909090909;2019
153;923;1;0;2015
154;125;1;0;2013
158;96;0,814814815;0,185185185;2013
159;126;0,800925926;0,199074074;2013
160;127;0,771428571;0,228571429;2014
161;80;0,01;0,99;2018
163;920;0,9;0,1;2017
164;1263;0,28358209;0,71641791;2018
166;170;0,413333333;0,586666667;2016
168;133;0,923913043;0,076086957;2014
169;81;0,875;0,125;2013
172;134;0,5;0,5;2016
174;916;0;1;2016
176;135;0,203703704;0,796296296;2016
177;172;0,659574468;0,340425532;2015
178;132;0,595959596;0,404040404;2015
179;136;0,951219512;0,048780488;2013
180;137;0,072463768;0,927536232;2019
181;97;1;0;2012
182;138;0,877777778;0,122222222;2015
184;1158;0;1;2018
185;139;1;0;2011
188;72;0,821428571;0,178571429;2016
193;140;1;0;2012
194;55;0,741935484;0,258064516;2015
195;52;0,448275862;0,551724138;2016
